BHID	UTM_East	UTM_North	UTM_RL	Max_Depth	Azimuth	Dip	Prospect	Hole_Status	Hole_Type	UTM_Grid_ID
PDH-01	388559.411	62299.85	444.7999878	125	123.1000004	-61.22499943	Pani	Completed	DDH	WGS84_51
PDH-02	388601.589	62289.63	472.2000122	125	120.2250004	-63.42499924	Pani	Completed	DDH	WGS84_51
PDH-03	388632.288	62203.36	511.2999878	125	122.1999995	-45.59999975	Pani	Completed	DDH	WGS84_51
PDH-04	388626.515	62260.22	488.1000061	130	123.8333333	-60.56666692	Pani	Completed	DDH	WGS84_51
PDH-05	388658.449	62235.94	521.4000244	135	121.6499977	-65.97499847	Pani	Completed	DDH	WGS84_51
PDH-06	388552.405	62154.38	485.6000061	135	123.0333328	-50.26666641	Pani	Completed	DDH	WGS84_51
PDH-07A	388592.485	62234	475.5	130	124.4749985	-46.42500019	Pani	Completed	DDH	WGS84_51
PDH-07B	388592.485	62234	475.5	130	224.125	-89.5	Pani	Completed	DDH	WGS84_51
PDH-08A	388493.695	62175.29	499.1000061	185.1000061	176.9500046	-47.64999962	Pani	Completed	DDH	WGS84_51
PDH-08B	388495.29	62173.56	499.1000061	160.3999939	119.8333333	-60.73333232	Pani	Completed	DDH	WGS84_51
PDH-09	388490.763	62304.76	469.7999878	185	124.7800003	-61.97999954	Pani	Completed	DDH	WGS84_51
PDH-10	388481.912	62206.83	494.1000061	180	123.6399994	-76.1	Pani	Completed	DDH	WGS84_51
PDH-100	388664.071	61919.09	496.7999878	110	151.299998	-89.36666616	Pani	Completed	DDH	WGS84_51
PDH-101	388404.671	61914.29	624.7999878	369.5	122.2444441	-66.45555539	Pani	Completed	DDH	WGS84_51
PDH-102	388486.694	61879.66	659.2000122	200	210.8399994	-61.76000061	Pani	Completed	DDH	WGS84_51
PDH-103	388428.58	62044.29	529.5999756	175	302.6599976	-60.48000031	Pani	Completed	DDH	WGS84_51
PDH-104	388218.217	61998.5	735.9000244	410.7999878	122.2666668	-72.34444427	Pani	Completed	DDH	WGS84_51
PDH-105	388452.328	61991.53	554.0999756	280	72.44285747	-89.67142705	Pani	Completed	DDH	WGS84_51
PDH-106	388528.198	62210.81	463.5	150	301.3499985	-59.69999981	Pani	Completed	DDH	WGS84_51
PDH-107	388542.845	62168.2	477.2000122	150	157.0749989	-89.77499962	Pani	Completed	DDH	WGS84_51
PDH-108	388615.994	62100.25	578.0999756	275	124.699998	-59.39999989	Pani	Completed	DDH	WGS84_51
PDH-109B	388234.415	62047.68	723.2999878	410	119.5799995	-74.17000046	Pani	Completed	DDH	WGS84_51
PDH-11	388458.614	62259.97	500.6000061	185	122.6199997	-72	Pani	Completed	DDH	WGS84_51
PDH-110	388561.642	62165.64	487.2999878	267	127.0285721	-68.15714264	Pani	Completed	DDH	WGS84_51
PDH-111	388646.516	62136.31	570.0999756	286.1000061	124.6142862	-58.32857186	Pani	Completed	DDH	WGS84_51
PDH-112	388565.451	62201.46	474.6000061	85	120.0333328	-66.5	Pani	Completed	DDH	WGS84_51
PDH-113	388604.823	62260.2	478	142.8000031	121.875	-65.30000114	Pani	Completed	DDH	WGS84_51
PDH-114	388662.342	62187.64	541.2999878	262.1000061	130.471429	-49.18571418	Pani	Completed	DDH	WGS84_51
PDH-115	388603.867	62193.01	507.7999878	234.6999969	122.8333333	-65.51666768	Pani	Completed	DDH	WGS84_51
PDH-116B	388243.508	62095.76	717.0999756	401	116.4800003	-87.96000061	Pani	Completed	DDH	WGS84_51
PDH-117	388640.863	62233.593	508.2999878	153.5	125.0599991	-66.61999969	Pani	Completed	DDH	WGS84_51
PDH-118	388669.647	62248.1	512.7999878	250.6999969	122.8000005	-66.6333313	Pani	Completed	DDH	WGS84_51
