BHID,Depth,UTM_Azimuth,Dip,DataSet,DHSurvey_Method
PDH-01,0,123,-60,Pani,
PDH-01,25,123,-61,Pani,Reflex
PDH-01,75,123,-61.7999992,Pani,Reflex
PDH-01,125,123.4000015,-62.0999985,Pani,Reflex
PDH-02,0,123,-63,Pani,
PDH-02,25,120.1999969,-63.0999985,Pani,Reflex
PDH-02,75,118.8000031,-63.7999992,Pani,Reflex
PDH-02,125,118.9000015,-63.7999992,Pani,Reflex
PDH-03,0,123,-45,Pani,
PDH-03,25,122,-45.7999992,Pani,Reflex
PDH-03,75,121.5999985,-46,Pani,Reflex
PDH-04,0,123,-60,Pani,
PDH-04,25,124.3000031,-60.7999992,Pani,Reflex
PDH-04,75,124.1999969,-60.9000015,Pani,Reflex
PDH-05,0,123,-65,Pani,
PDH-05,25,121.1999969,-66.0999985,Pani,Reflex
PDH-05,75,121.1999969,-66.1999969,Pani,Reflex
PDH-05,125,121.1999969,-66.5999985,Pani,Reflex
PDH-06,0,123,-50,Pani,
PDH-06,25,123.1999969,-50,Pani,Reflex
PDH-06,96.9000015,122.9000015,-50.7999992,Pani,Reflex
PDH-07A,0,123,-45,Pani,
PDH-07A,25,126.0999985,-46.2999992,Pani,Reflex
PDH-07A,75,124.1999969,-47,Pani,Reflex
PDH-07A,125,124.5999985,-47.4000015,Pani,Reflex
PDH-07B,0,0,-90,Pani,
PDH-07B,25,287.1000061,-89.3000031,Pani,Reflex
PDH-07B,75,306.2999878,-89.5,Pani,Reflex
PDH-07B,130,303.1000061,-89.1999969,Pani,Reflex
PDH-08A,0,180,-45,Pani,
PDH-08A,25,176.1000061,-47.0999985,Pani,Reflex
PDH-08A,75,175.6000061,-47.4000015,Pani,Reflex
PDH-08A,185.1000061,176.1000061,-51.0999985,Pani,Reflex
PDH-08B,0,124,-60,Pani,
PDH-08B,25,118.1999969,-60.5999985,Pani,Reflex
PDH-08B,75,117.3000031,-61.5999985,Pani,Reflex
PDH-09,0,123,-60,Pani,
PDH-09,25,125.3000031,-61.4000015,Pani,Reflex
PDH-09,75,125.0999985,-62.2999992,Pani,Reflex
PDH-09,125,125,-62.5999985,Pani,Reflex
PDH-09,185,125.5,-63.5999985,Pani,Reflex
PDH-10,0,123,-75,Pani,
PDH-10,25,124.1999969,-75.5999985,Pani,Reflex
PDH-10,75,124.1999969,-76.1999969,Pani,Reflex
PDH-10,125,123.4000015,-76.8000031,Pani,Reflex
PDH-10,180,123.4000015,-76.9000015,Pani,Reflex
PDH-100,0,0,-90,Pani,
PDH-100,25,207.8999939,-88.9000015,Pani,Reflex
PDH-100,75,246,-89.1999969,Pani,Reflex
PDH-101,0,123,-65,Pani,
PDH-101,25,124.1999969,-64.8000031,Pani,Reflex
PDH-101,75,123.1999969,-65.8000031,Pani,Reflex
PDH-101,125,122.8000031,-66.1999969,Pani,Reflex
PDH-101,175,121.6999969,-66.5,Pani,Reflex
PDH-101,225,121.5999985,-66.9000015,Pani,Reflex
PDH-101,275,121,-67,Pani,Reflex
PDH-101,325,121.3000031,-67.6999969,Pani,Reflex
PDH-101,369,121.4000015,-68.1999969,Pani,Reflex
PDH-102,0,210,-60,Pani,
PDH-102,25,210.6999969,-60.9000015,Pani,Reflex
PDH-102,75,211,-61.5,Pani,Reflex
PDH-102,125,211.1000061,-62.4000015,Pani,Reflex
PDH-102,175,211.3999939,-64,Pani,Reflex
PDH-103,0,300,-60,Pani,
PDH-103,25,302.8999939,-60.7000008,Pani,Reflex
PDH-103,75,303.2999878,-60.7000008,Pani,Reflex
PDH-103,125,303.5,-60.5999985,Pani,Reflex
PDH-103,175,303.6000061,-60.4000015,Pani,Reflex
PDH-104,0,123,-70,Pani,
PDH-104,75,123.8000031,-71.8000031,Pani,Reflex
PDH-104,125,122.0999985,-71.6999969,Pani,Reflex
PDH-104,175,122,-72.3000031,Pani,Reflex
PDH-104,225,122.1999969,-73.0999985,Pani,Reflex
PDH-104,275,121.8000031,-73.1999969,Pani,Reflex
PDH-104,325,123.5,-73.5999985,Pani,Reflex
PDH-104,375,121.1999969,-72.4000015,Pani,Reflex
PDH-104,410.1000061,120.8000031,-73,Pani,Reflex
PDH-105,0,0,-90,Pani,
